Well_id	3847WP_id	Well	Drug	Conc_flag	Concentration	Replicate	Full name	Well_letter	Well_number	quadrant id
P1_H1	P1	H1	NSN	1	6.4	1	NSN_1_6.4	H	1	P1_Q3
P1_H3	P1	H3	NSN	2	3.2	1	NSN_2_3.2	H	3	P1_Q3
P1_H5	P1	H5	NSN	3	1.6	1	NSN_3_1.6	H	5	P1_Q3
P1_H7	P1	H7	MMC	1	0.0625	2	MMC_1_0.0625	H	7	P1_Q3
P1_H9	P1	H9	MMC	2	0.03125	2	MMC_2_0.03125	H	9	P1_Q3
P1_H11	P1	H11	MMC	3	0.015625	2	MMC_3_0.015625	H	11	P1_Q3
P1_H13	P1	H13	PLM	1	5	1	PLM_1_5	H	13	P1_Q3
P1_H15	P1	H15	PLM	2	2.5	1	PLM_2_2.5	H	15	P1_Q3
P1_H17	P1	H17	PLM	3	1.25	1	PLM_3_1.25	H	17	P1_Q3
P1_H19	P1	H19	PQ	1	5	2	PQ_1_5	H	19	P1_Q3
P1_H21	P1	H21	PQ	2	2.5	2	PQ_2_2.5	H	21	P1_Q3
P1_H23	P1	H23	PQ	3	1.25	2	PQ_3_1.25	H	23	P1_Q3
P1_J1	P1	J1	TEC	1	0.625	1	TEC_1_0.625	J	1	P1_Q3
P1_J3	P1	J3	TEC	2	0.3125	1	TEC_2_0.3125	J	3	P1_Q3
P1_J5	P1	J5	TEC	3	0.15625	1	TEC_3_0.15625	J	5	P1_Q3
P1_J7	P1	J7	MXF	1	0.03	2	MXF_1_0.03	J	7	P1_Q3
P1_J9	P1	J9	MXF	2	0.015	2	MXF_2_0.015	J	9	P1_Q3
P1_J11	P1	J11	MXF	3	0.0075	2	MXF_3_0.0075	J	11	P1_Q3
P1_J13	P1	J13	PRI	1	0.25	1	PRI_1_0.25	J	13	P1_Q3
P1_J15	P1	J15	PRI	2	0.125	1	PRI_2_0.125	J	15	P1_Q3
P1_J17	P1	J17	PRI	3	0.0625	1	PRI_3_0.0625	J	17	P1_Q3
P1_J19	P1	J19	PEN	1	0.078	2	PEN_1_0.078	J	19	P1_Q3
P1_J21	P1	J21	PEN	2	0.039	2	PEN_2_0.039	J	21	P1_Q3
P1_J23	P1	J23	PEN	3	0.0195	2	PEN_3_0.0195	J	23	P1_Q3
P1_L1	P1	L1	NIT	1	4	1	NIT_1_4	L	1	P1_Q3
P1_L3	P1	L3	NIT	2	2	1	NIT_2_2	L	3	P1_Q3
P1_L5	P1	L5	NIT	3	1	1	NIT_3_1	L	5	P1_Q3
P1_L7	P1	L7	NSN	1	6.4	2	NSN_1_6.4	L	7	P1_Q3
P1_L9	P1	L9	NSN	2	3.2	2	NSN_2_3.2	L	9	P1_Q3
P1_L11	P1	L11	NSN	3	1.6	2	NSN_3_1.6	L	11	P1_Q3
P1_L13	P1	L13	PRC	1	342	1	PRC_1_342	L	13	P1_Q3
P1_L15	P1	L15	PRC	2	171	1	PRC_2_171	L	15	P1_Q3
P1_L17	P1	L17	PRC	3	85.5	1	PRC_3_85.5	L	17	P1_Q3
P1_L19	P1	L19	PLM	1	5	2	PLM_1_5	L	19	P1_Q3
P1_L21	P1	L21	PLM	2	2.5	2	PLM_2_2.5	L	21	P1_Q3
P1_L23	P1	L23	PLM	3	1.25	2	PLM_3_1.25	L	23	P1_Q3
P1_N1	P1	N1	ORI	1	4	1	ORI_1_4	N	1	P1_Q3
P1_N3	P1	N3	ORI	2	2	1	ORI_2_2	N	3	P1_Q3
P1_N5	P1	N5	ORI	3	1	1	ORI_3_1	N	5	P1_Q3
P1_N7	P1	N7	TEC	1	0.625	2	TEC_1_0.625	N	7	P1_Q3
P1_N9	P1	N9	TEC	2	0.3125	2	TEC_2_0.3125	N	9	P1_Q3
P1_N11	P1	N11	TEC	3	0.15625	2	TEC_3_0.15625	N	11	P1_Q3
P1_N13	P1	N13	PUR	1	1.56	1	PUR_1_1.56	N	13	P1_Q3
P1_N15	P1	N15	PUR	2	0.78	1	PUR_2_0.78	N	15	P1_Q3
P1_N17	P1	N17	PUR	3	0.39	1	PUR_3_0.39	N	17	P1_Q3
P1_N19	P1	N19	PRI	1	0.25	2	PRI_1_0.25	N	19	P1_Q3
P1_N21	P1	N21	PRI	2	0.125	2	PRI_2_0.125	N	21	P1_Q3
P1_N23	P1	N23	PRI	3	0.0625	2	PRI_3_0.0625	N	23	P1_Q3
P1_P1	P1	P1	NVB	1	0.05	1	NVB_1_0.05	P	1	P1_Q3
P1_P3	P1	P3	NVB	2	0.025	1	NVB_2_0.025	P	3	P1_Q3
P1_P5	P1	P5	NVB	3	0.0125	1	NVB_3_0.0125	P	5	P1_Q3
P1_P7	P1	P7	NIT	1	4	2	NIT_1_4	P	7	P1_Q3
P1_P9	P1	P9	NIT	2	2	2	NIT_2_2	P	9	P1_Q3
P1_P11	P1	P11	NIT	3	1	2	NIT_3_1	P	11	P1_Q3
P1_P13	P1	P13	PYO	1	5	1	PYO_1_5	P	13	P1_Q3
P1_P15	P1	P15	PYO	2	2.5	1	PYO_2_2.5	P	15	P1_Q3
P1_P17	P1	P17	PYO	3	1.25	1	PYO_3_1.25	P	17	P1_Q3
P1_P19	P1	P19	PRC	1	342	2	PRC_1_342	P	19	P1_Q3
P1_P21	P1	P21	PRC	2	171	2	PRC_2_171	P	21	P1_Q3
P1_P23	P1	P23	PRC	3	85.5	2	PRC_3_85.5	P	23	P1_Q3
P1_B2	P1	B2	RIF	1	0.016	1	RIF_1_0.016	B	2	P1_Q4
P1_B4	P1	B4	RIF	2	0.008	1	RIF_2_0.008	B	4	P1_Q4
P1_B6	P1	B6	RIF	3	0.004	1	RIF_3_0.004	B	6	P1_Q4
P1_B8	P1	B8	BUG	1	0	2	BUG_1_0	B	8	P1_Q4P1_B10	P1	B10	BUG	2	0	2	BUG_2_0	B	10	P1_Q4P1_B12	P1	B12	BUG	3	0	2	BUG_3_0	B	12	P1_Q4P1_B14	P1	B14	NOT	1	0	1	NOT_1_0	B	14	P1_Q4P1_B16	P1	B16	NOT	2	0	1	NOT_2_0	B	16	P1_Q4P1_B18	P1	B18	NOT	3	0	1	NOT_3_0	B	18	P1_Q4
P1_B20	P1	B20	VAN	1	0.75	2	VAN_1_0.75	B	20	P1_Q4
P1_B22	P1	B22	VAN	2	0.375	2	VAN_2_0.375	B	22	P1_Q4
P1_B24	P1	B24	VAN	3	0.1875	2	VAN_3_0.1875	B	24	P1_Q4
P1_D2	P1	D2	SPT	1	16	1	SPT_1_16	D	2	P1_Q4
P1_D4	P1	D4	SPT	2	8	1	SPT_2_8	D	4	P1_Q4
P1_D6	P1	D6	SPT	3	4	1	SPT_3_4	D	6	P1_Q4
P1_D8	P1	D8	TEL	1	0.125	2	TEL_1_0.125	D	8	P1_Q4
P1_D10	P1	D10	TEL	2	0.0625	2	TEL_2_0.0625	D	10	P1_Q4
P1_D12	P1	D12	TEL	3	0.03125	2	TEL_3_0.03125	D	12	P1_Q4
P1_D14	P1	D14	TPH	1	10	1	TPH_1_10	D	14	P1_Q4
P1_D16	P1	D16	TPH	2	5	1	TPH_2_5	D	16	P1_Q4
