donor_real_conc	run	donor	donor_conc
32	63	SPT	2
16	63	SPT	3
8	44	STR	1
4	44	STR	2
2	44	STR	3
0.6	45	STZ	1
0.3	45	STZ	2
0.15	45	STZ	3
10	75	SUC	1
5	75	SUC	2
2.5	75	SUC	3
10	83	SUC	1
5	83	SUC	2
2.5	83	SUC	3
16	89	SUL	1
8	89	SUL	2
4	89	SUL	3
0.5	74	TAM	1
0.25	74	TAM	2
0.125	74	TAM	3
0.5	83	TAM	1
0.25	83	TAM	2
0.125	83	TAM	3
0.625	45	TEC	1
0.3125	45	TEC	2
0.15625	45	TEC	3
0.625	49	TEC	1
0.3125	49	TEC	2
0.15625	49	TEC	3
0.125	26	TEL	1
0.125	26	TEL	1
0.0625	26	TEL	2
0.0625	26	TEL	2
0.03125	26	TEL	3
0.03125	26	TEL	3
0.125	46	TEL	1
0.0625	46	TEL	2
0.03125	46	TEL	3
0.031	49	TEL	1
0.0155	49	TEL	2
0.00775	49	TEL	3
0.156	45	TGC	1
0.078	45	TGC	2
0.039	45	TGC	3
0.039	63	TGC	1
0.0195	63	TGC	2
0.00975	63	TGC	3
80	88	THY	1
40	88	THY	2
20	88	THY	3
15	75	TIC	1
7.5	75	TIC	2
3.75	75	TIC	3
15	83	TIC	1
7.5	83	TIC	2
3.75	83	TIC	3
0.168	86	TIR	1
0.084	86	TIR	2
0.042	86	TIR	3
0.5	86	TLM	1
0.25	86	TLM	2
0.125	86	TLM	3
0.75	120	TLM	1
0.375	120	TLM	2
0.1875	120	TLM	3
1	26	TMP	1
0.5	26	TMP	2
0.25	26	TMP	3
1	27	TMP	1
0.5	27	TMP	2
0.25	27	TMP	3
10	74	TOL	1
5	74	TOL	2
2.5	74	TOL	3
10	83	TOL	1
5	83	TOL	2
2.5	83	TOL	3
10	45	TPH	1
5	45	TPH	2
2.5	45	TPH	3
0.062	30	TRI	1
0.031	30	TRI	2
0.0155	30	TRI	3
0.031	35	TRI	1
0.0155	35	TRI	2
0.00775	35	TRI	3
0.5	86	TRO	1
0.25	86	TRO	2
0.125	86	TRO	3
0.5	120	TRO	1
0.25	120	TRO	2
0.125	120	TRO	3
0.25	45	TZD	1
0.125	45	TZD	2
0.0625	45	TZD	3
7	46	U1	1
3.5	46	U1	2
1.75	46	U1	3
14	49	U1	1
7	49	U1	2
3.5	49	U1	3
0.75	31	VAN	1
0.375	31	VAN	2
0.1875	31	VAN	3
0.75	36	VAN	1
0.375	36	VAN	2
0.1875	36	VAN	3
0.75	47	VAN	1
0.375	47	VAN	2
0.1875	47	VAN	3
0.25	46	VIR	1
0.125	46	VIR	2
0.0625	46	VIR	3
1	49	VIR	1
0.5	49	VIR	2
0.25	49	VIR	3
150	90	POV	1
75	90	POV	2
37.5	90	POV	3
80	90	CAF	1
40	90	CAF	2
20	90	CAF	3
80	90	NIC	1
40	90	NIC	2
